"GAME_ID","GAME_DT","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","ATTEND_PARK_CT","AWAY_SCORE_CT","HOME_SCORE_CT"
"ANA201704070","20170407","SEA","ANA","ANA01",43911,1,5
"ANA201704080","20170408","SEA","ANA","ANA01",42668,4,5
"ANA201704090","20170409","SEA","ANA","ANA01",37175,9,10
"ANA201704110","20170411","TEX","ANA","ANA01",34044,5,6
"ANA201704120","20170412","TEX","ANA","ANA01",34599,8,3
"ANA201704130","20170413","TEX","ANA","ANA01",30255,8,3
"ANA201704210","20170421","TOR","ANA","ANA01",40176,8,7
"ANA201704220","20170422","TOR","ANA","ANA01",41345,4,5
"ANA201704230","20170423","TOR","ANA","ANA01",35034,6,2
"ANA201704240","20170424","TOR","ANA","ANA01",25304,1,2
"ANA201704250","20170425","OAK","ANA","ANA01",30124,1,2
"ANA201704260","20170426","OAK","ANA","ANA01",30248,5,8
"ANA201704270","20170427","OAK","ANA","ANA01",37603,1,2
"ANA201705050","20170505","HOU","ANA","ANA01",34556,7,6
"ANA201705060","20170506","HOU","ANA","ANA01",41097,1,2
"ANA201705070","20170507","HOU","ANA","ANA01",38385,5,3
"ANA201705110","20170511","DET","ANA","ANA01",30207,7,1
"ANA201705120","20170512","DET","ANA","ANA01",44311,0,7
"ANA201705130","20170513","DET","ANA","ANA01",40251,4,3
"ANA201705140","20170514","DET","ANA","ANA01",36215,1,4
"ANA201705150","20170515","CHA","ANA","ANA01",29445,3,5
"ANA201705160","20170516","CHA","ANA","ANA01",36089,6,7
"ANA201705170","20170517","CHA","ANA","ANA01",33234,8,12
"ANA201705290","20170529","ATL","ANA","ANA01",38251,6,3
"ANA201705300","20170530","ATL","ANA","ANA01",32028,3,9
"ANA201705310","20170531","ATL","ANA","ANA01",35795,1,2
"ANA201706010","20170601","MIN","ANA","ANA01",33426,4,2
"ANA201706020","20170602","MIN","ANA","ANA01",39042,11,5
"ANA201706030","20170603","MIN","ANA","ANA01",40236,2,7
"ANA201706040","20170604","MIN","ANA","ANA01",39701,3,2
"ANA201706120","20170612","NYA","ANA","ANA01",36245,5,3
"ANA201706130","20170613","NYA","ANA","ANA01",33159,2,3
"ANA201706140","20170614","NYA","ANA","ANA01",43851,5,7
"ANA201706150","20170615","KCA","ANA","ANA01",34884,7,2
"ANA201706160","20170616","KCA","ANA","ANA01",34184,3,1
"ANA201706170","20170617","KCA","ANA","ANA01",41209,0,9
"ANA201706180","20170618","KCA","ANA","ANA01",40178,7,3
"ANA201706280","20170628","LAN","ANA","ANA01",44669,2,3
"ANA201706290","20170629","LAN","ANA","ANA01",44807,6,2
"ANA201706300","20170630","SEA","ANA","ANA01",40059,10,0
"ANA201707010","20170701","SEA","ANA","ANA01",44644,0,4
"ANA201707020","20170702","SEA","ANA","ANA01",39279,5,3
"ANA201707140","20170714","TBA","ANA","ANA01",38119,2,1
"ANA201707150","20170715","TBA","ANA","ANA01",38515,6,3
"ANA201707160","20170716","TBA","ANA","ANA01",36178,3,4
"ANA201707180","20170718","WAS","ANA","ANA01",43345,4,3
"ANA201707190","20170719","WAS","ANA","ANA01",41065,0,7
"ANA201707210","20170721","BOS","ANA","ANA01",37714,6,2
"ANA201707220","20170722","BOS","ANA","ANA01",43829,3,7
"ANA201707230","20170723","BOS","ANA","ANA01",40471,2,3
"ANA201708010","20170801","PHI","ANA","ANA01",36344,1,7
"ANA201708020","20170802","PHI","ANA","ANA01",34623,0,7
"ANA201708030","20170803","PHI","ANA","ANA01",34710,4,5
"ANA201708040","20170804","OAK","ANA","ANA01",43330,6,8
"ANA201708050","20170805","OAK","ANA","ANA01",39180,5,0
"ANA201708060","20170806","OAK","ANA","ANA01",38278,11,10
"ANA201708070","20170807","BAL","ANA","ANA01",34142,6,2
"ANA201708080","20170808","BAL","ANA","ANA01",35723,2,3
"ANA201708090","20170809","BAL","ANA","ANA01",36202,1,5
"ANA201708210","20170821","TEX","ANA","ANA01",35204,5,3
"ANA201708220","20170822","TEX","ANA","ANA01",37033,1,10
"ANA201708230","20170823","TEX","ANA","ANA01",35497,7,5
"ANA201708240","20170824","TEX","ANA","ANA01",34032,3,0
"ANA201708250","20170825","HOU","ANA","ANA01",42333,2,1
"ANA201708260","20170826","HOU","ANA","ANA01",41101,6,7
"ANA201708270","20170827","HOU","ANA","ANA01",37606,7,5
"ANA201708280","20170828","OAK","ANA","ANA01",33719,1,3
"ANA201708290","20170829","OAK","ANA","ANA01",36229,2,8
"ANA201708300","20170830","OAK","ANA","ANA01",36022,8,10
"ANA201709120","20170912","HOU","ANA","ANA01",36088,1,0
"ANA201709130","20170913","HOU","ANA","ANA01",33899,1,9
"ANA201709140","20170914","HOU","ANA","ANA01",35715,5,2
"ANA201709150","20170915","TEX","ANA","ANA01",41409,6,7
"ANA201709160","20170916","TEX","ANA","ANA01",40719,0,2
"ANA201709170","20170917","TEX","ANA","ANA01",36709,4,2
"ANA201709190","20170919","CLE","ANA","ANA01",36171,6,3
"ANA201709200","20170920","CLE","ANA","ANA01",38424,6,5
"ANA201709210","20170921","CLE","ANA","ANA01",29863,4,1
"ANA201709290","20170929","SEA","ANA","ANA01",35106,5,6
"ANA201709300","20170930","SEA","ANA","ANA01",38075,6,4
"ANA201710010","20171001","SEA","ANA","ANA01",34940,2,6
"ARI201704020","20170402","SFN","ARI","PHO01",49016,5,6
"ARI201704040","20170404","SFN","ARI","PHO01",19378,8,4
"ARI201704050","20170405","SFN","ARI","PHO01",14675,6,8
"ARI201704060","20170406","SFN","ARI","PHO01",15308,3,9
"ARI201704070","20170407","CLE","ARI","PHO01",22443,3,7
"ARI201704080","20170408","CLE","ARI","PHO01",28437,2,11
"ARI201704090","20170409","CLE","ARI","PHO01",30191,2,3
"ARI201704210","20170421","LAN","ARI","PHO01",27018,5,13
"ARI201704220","20170422","LAN","ARI","PHO01",36294,5,11
"ARI201704230","20170423","LAN","ARI","PHO01",28704,6,2
"ARI201704240","20170424","SDN","ARI","PHO01",14758,6,7
"ARI201704250","20170425","SDN","ARI","PHO01",17531,3,9
"ARI201704260","20170426","SDN","ARI","PHO01",12215,8,5
"ARI201704270","20170427","SDN","ARI","PHO01",15452,2,6
"ARI201704280","20170428","COL","ARI","PHO01",19300,3,1
"ARI201704290","20170429","COL","ARI","PHO01",30445,7,6
"ARI201704300","20170430","COL","ARI","PHO01",23613,0,2
"ARI201705090","20170509","DET","ARI","PHO01",20445,7,3
"ARI201705100","20170510","DET","ARI","PHO01",18897,1,7
"ARI201705110","20170511","PIT","ARI","PHO01",17527,1,2
"ARI201705120","20170512","PIT","ARI","PHO01",21911,4,11
"ARI201705130","20170513","PIT","ARI","PHO01",31673,4,3
"ARI201705140","20170514","PIT","ARI","PHO01",34088,6,4
"ARI201705150","20170515","NYN","ARI","PHO01",15988,3,7
"ARI201705160","20170516","NYN","ARI","PHO01",17471,4,5
"ARI201705170","20170517","NYN","ARI","PHO01",19842,4,5
"ARI201705220","20170522","CHA","ARI","PHO01",18333,1,5
"ARI201705230","20170523","CHA","ARI","PHO01",17865,4,5
"ARI201705240","20170524","CHA","ARI","PHO01",18002,6,8
"ARI201706060","20170606","SDN","ARI","PHO01",25883,2,10
"ARI201706070","20170607","SDN","ARI","PHO01",22079,4,7
"ARI201706080","20170608","SDN","ARI","PHO01",21340,3,15
"ARI201706090","20170609","MIL","ARI","PHO01",25009,8,6
"ARI201706100","20170610","MIL","ARI","PHO01",40195,2,3
"ARI201706110","20170611","MIL","ARI","PHO01",30370,1,11
"ARI201706230","20170623","PHI","ARI","PHO01",31648,6,1
"ARI201706240","20170624","PHI","ARI","PHO01",40557,2,9
"ARI201706250","20170625","PHI","ARI","PHO01",28179,1,2
"ARI201706260","20170626","PHI","ARI","PHO01",20765,1,6
