des,x,y,type
Groundout,108.02,147.02,O
Double,70.05,85.45,H
Groundout,108.63,148.02,O
Lineout,91.88,107.83,O
Flyout,127.92,50.86,O
Flyout,124.88,79.35,O
Single,134.52,77.31,H
Lineout,178.69,98.17,O
Flyout,95.43,55.44,O
Groundout,112.69,185.15,O
Single,185.29,107.32,H
Groundout,149.24,148.52,O
Groundout,106.09,160.22,O
Flyout,186.81,96.13,O
Groundout,148.74,150.56,O
Runner Interference,148.74,150.56,E
Single,126.54,94.02,H
Groundout,151.44,153.98,O
Groundout,106.21,174.31,O
Groundout,121.97,145.85,O
Home Run,51.27,42.22,H
Field Error,128.94,181.59,E
Single,79.7,95.12,H
Batter Interference,1,1,E
Single,127.92,103.76,H
Single,113.71,92.06,H
Groundout,110.66,152.59,O
Flyout,146.71,108.34,O
Flyout,171.07,113.43,O
Double,149.24,63.58,H
Flyout,151.27,77.31,O
Home Run,18.27,86.98,H
Double,110.16,92.06,H
Lineout,102.03,155.14,O
Flyout,119.8,56.97,O
Home Run,184.78,46.29,H
Double,157.37,55.44,H
Groundout,108.63,157.17,O
Flyout,123.86,39.17,O
Groundout,127.92,178.53,O
Single,62.95,113.43,H
Groundout,105.59,176.5,O
Home Run,220.31,77.31,H
Pop Out,137.06,148.02,O
Single,77.16,116.48,H
Lineout,61.42,92.06,O
Groundout,108.63,168.36,O
Home Run,50.76,53.41,H
Groundout,104.06,153.1,O
Single,65.99,126.65,H
Flyout,181.73,95.12,O
Double,73.1,141.91,H
Groundout,102.03,150.05,O
Groundout,109.65,156.66,O
Lineout,113.71,157.17,O
Flyout,144.17,42.22,O
Single,75.64,131.74,H
Groundout,110.66,165.31,O
Double,162.44,64.6,H
Double,167.52,30.52,H
Double,50.76,110.38,H
Single,114.72,183.11,H
Groundout,150.77,151.07,O
Flyout,200.01,145.98,O
Flyout,146.71,48.83,O
Lineout,189.35,96.13,O
Single,116.76,120.55,H
Double,37.06,107.83,H
Groundout,106.09,150.05,O
Groundout,104.57,154.63,O
Groundout,142.64,151.07,O
Home Run,37.56,70.7,H
Double,64.98,136.83,H
Double,51.27,118.51,H
Groundout,108.13,162.26,O
Lineout,103.56,174.46,O
Flyout,161.7,106.31,O
Groundout,103.36,159.21,O
Flyout,186.77,109.87,O
Pop Out,188.82,182.6,O
Lineout,109.81,148.63,O
Groundout,102.53,171.08,O
Groundout,103.74,171.08,O
Home Run,60,51.81,H
Groundout,146.11,149.85,O
Pop Out,135.03,161.24,O
Groundout,135.03,175.48,O
Double,71.07,60.53,H
Groundout,110.66,149.03,O
Flyout,161.43,126.65,O
Lineout,177.16,120.55,O
Flyout,180.72,85.45,O
Home Run,219.8,77.31,H
Single,103.56,94.1,H
Groundout,136.05,179.55,O
Double,175.13,46.8,H
Field Error,170.56,132.76,E
Home Run,41.63,45.27,H
Single,83.25,133.77,H
Single,110.16,103.76,H
Double,132.49,30.01,H
Groundout,104.57,174.46,O
Groundout,114.22,158.7,O
Flyout,103.56,54.42,O
Flyout,208.13,82.91,O
Groundout,114.22,162.77,O
Lineout,156.86,86.98,O
Single,107.62,174.97,H
Single,100,74.77,H
Double,53.81,113.43,H
Groundout,101.53,152.59,O
Flyout,187.32,73.24,O
Groundout,114.22,156.66,O
Groundout,146.2,148.52,O
Single,173.61,128.18,H
Groundout,127.92,195.32,O
Single,116.25,94.1,H
Groundout,140.61,181.08,O
Double,75.13,54.93,H
Groundout,140.11,141.91,O
Groundout,111.68,150.56,O
Lineout,131.98,95.62,O
Single,83.25,108.34,H
Single,81.22,109.87,H
Lineout,136.05,77.31,O
Single,81.73,103.76,H
Single,178.69,93.59,H
Flyout,169.04,92.06,O
Double,39.6,100.2,H
Single,59.39,88,H
Single,92.39,164.29,H
Flyout,138.08,81.89,O
Flyout,104.06,83.42,O
Flyout,202.04,105.29,O
Single,80.21,106.31,H
Groundout,106.6,170.9,O
Lineout,175.13,96.13,O
Lineout,112.19,146.49,O
Single,130.97,140.39,H
Flyout,128.94,63.07,O
Groundout,143.66,146.49,O
Single,177.16,128.69,H
Groundout,144.17,149.03,O
Single,76.14,117.5,H
Single,104.57,149.03,H
Lineout,64.98,113.43,O
Groundout,104.57,154.12,O
Single,79.19,123.6,H
Groundout,126.4,181.59,O
Flyout,164.98,49.34,O
Flyout,85.79,56.46,O
Double,201.53,123.6,H
Lineout,118.28,85.96,O
Groundout,107.62,155.14,O
Lineout,77.16,78.84,O
Groundout,126.91,181.59,O
Flyout,140.11,36.62,O
Groundout,109.65,153.1,O
Groundout,108.63,160.73,O
Lineout,55.33,102.24,O
Flyout,132.49,68.67,O
Flyout,140.61,103.76,O
Lineout,142.14,148.52,O
Flyout,134.01,36.62,O
Lineout,151.27,164.8,O
Groundout,112.69,158.19,O
Flyout,167.01,61.04,O
Pop Out,164.98,177.01,O
Lineout,108.13,149.03,O
Groundout,106.6,154.12,O
Single,153.3,99.19,H
Groundout,104.06,167.34,O
Groundout,112.72,148.48,O
Single,95.75,119.39,H
Lineout,108.48,149.08,O
Lineout,111.51,81.21,O
Flyout,176.96,98.78,O
Single,79.99,122.42,H
Single,128.48,76.96,H
Single,112.72,79.39,H
Single,110.9,85.45,H
Single,170.9,95.75,H
Groundout,106.05,153.32,O
Flyout,163.63,63.63,O
Lineout,65.48,101.22,O
Single,177.16,120.55,H
Error,177.16,120.55,E
Triple,193.41,60.53,H
Flyout,65.99,88,O
Flyout,81.73,110.38,O
Single,104.06,154.63,H
Lineout,100.51,167.34,O
Single,85.79,103.25,H
Flyout,212.19,126.65,O
Lineout,133,59.51,O
Double,99.5,56.46,H
Double,76.14,125.63,H
Groundout,110.16,156.15,O
Lineout,144.67,71.72,O
Flyout,115.74,100.2,O
Groundout,116.76,161.24,O
Error,116.76,161.24,E
Single,169.55,137.84,H
Groundout,126.4,182.6,O
Single,106.59,87.83,H
Groundout,138.57,148.35,O
Groundout,116.24,147.85,O
Single,84.26,119.87,H
Groundout,114.21,151.91,O
Groundout,115,153.24,O
Bunt Groundout,127.72,183.53,O
Single,130.45,97.49,H
Single,102.02,157,H
Flyout,135.02,56.29,O
Single,82.23,125.97,H
Home Run,208.12,68.5,H
Single,85.78,114.28,H
Pop Out,144.66,137.67,O
Flyout,130.45,91.89,O
Groundout,113.7,154.46,O
Groundout,122.33,150.9,O
Flyout,94.41,56.8,O
Single,128.42,82.74,H
Double,74.1,90.88,H
Single,175.77,123.43,H
Groundout,108.21,155.94,O
Single,128.02,108.69,H
Pop Out,152.4,169.14,O
Single,75.12,118.34,H
Single,116.74,95.46,H
Flyout,184.77,110.21,O
Lineout,154.31,74.6,O
Flyout,183.75,77.14,O
Single,166.21,109.19,H
Groundout,120.3,147.85,O
Single,198.11,115.97,H
Single,102.97,157.18,H
Flyout,178.12,84.45,O
Groundout,108.62,156.49,O
Groundout,110.65,176.84,O
Single,116.24,103.59,H
Flyout,187.31,90.88,O
Single,63.44,113.26,H
Pop Out,162.94,199.73,O
Single,169.03,86.81,H
Groundout,105.58,154.46,O
Pop Out,103.55,138.18,O
Flyout,132.99,69.51,O
Single,167,123.94,H
Flyout,54.81,97.49,O
Lineout,102.53,150.9,O
Groundout,104.05,154.46,O
Lineout,150.25,40.01,O
Single,105.58,111.22,H
Groundout,107.61,158.02,O
Groundout,110.65,162.09,O
Home Run,95.42,18.65,H
Single,63.95,113.77,H
Flyout,167,98,O
Flyout,139.08,34.93,O
Groundout,126.39,183.45,O
Single,99.49,178.36,H
Groundout,126.9,180.4,O
Home Run,67.5,50.19,H
Single,87.81,83.25,H
Groundout,129.94,182.43,O
Flyout,114.21,49.17,O
Groundout,148.73,162.6,O
Field Error,132.99,140.22,E
Double,124.36,40.52,H
Home Run,29.43,66.46,H
Single,170.55,113.26,H
Double,106.59,47.13,H
Groundout,145.17,159.04,O
Single,120.81,88.84,H
Flyout,175.63,81.21,O
Single,67.89,114.22,H
Pop Out,163.64,154.21,O
Single,104.25,164.52,H
Flyout,170.31,107.55,O
Pop Out,168.22,146.94,O
Single,77.32,131.18,H
Single,116.11,103.31,H
Flyout,90.65,115.43,O
Single,64.79,111.72,H
Triple,205.39,101.42,H
Double,104.18,54.76,H
Lineout,95.09,82.03,O
Single,81.76,101.42,H
Groundout,114.71,150.9,O
Groundout,129.94,180.91,O
Groundout,99.99,168.19,O
Flyout,117.76,83.76,O
Home Run,42.63,80.7,H
Single,87.3,103.09,H
Flyout,178.68,119.87,O
Groundout,109.19,176.41,O
Lineout,151.26,71.04,O
Groundout,113.7,152.93,O
Groundout,142.63,151.91,O
Lineout,107.61,152.42,O
Single,108.62,180.4,H
Groundout,99.99,165.14,O
Single,123.85,195.15,H
Groundout,104.56,157,O
Single,104.05,155.98,H
Groundout,102.02,167.17,O
Flyout,174.61,134.11,O
Single,77.66,125.47,H
Groundout,110.15,174.3,O
Groundout,112.68,166.16,O
Groundout,114.71,165.14,O
Pop Out,173.09,172.77,O
Groundout,128.42,180.91,O
Groundout,110.15,158.53,O
Single,121.82,107.15,H
Groundout,112.68,163.11,O
Single,137.05,93.93,H
Lineout,169.54,89.35,O
Lineout,138.57,143.78,O
Groundout,124.87,142.25,O
Groundout,104.05,164.12,O
Field Error,101.52,165.14,E
Bunt Groundout,114.21,183.45,O
Bunt Groundout,112.68,186.5,O
Pop Out,175.89,133.84,O
Flyout,160.67,87.08,O
Single,145.17,79.18,H
Flyout,152.28,50.69,O
Double,61.92,130.55,H
Flyout,93.39,41.03,O
Groundout,106.59,172.26,O
Bunt Groundout,126.9,184.47,O
Single,111.97,83.14,H
Home Run,59.89,38.49,H
Single,74.1,128.52,H
Single,124.87,92.91,H
Single,80.21,111.12,H
Groundout,109.9,151.12,O
Field Error,112.93,152.93,E
Single,102.03,79,H
Single,91.12,94.76,H
Double,99.6,78.39,H
Triple,146.27,42.64,H
Single,131.12,66.27,H
Single,87.01,121.75,H
Single,131.23,180.5,H
Flyout,198.46,115.69,O
Flyout,143.14,36.96,O
